time,event_type,product_id,machine_index,additional_info
54.79321001556498,processing_start,6,3.0,Processing Time: 5.70
55.92152466645946,processing_complete,7,2.0,
55.92152466645946,machine_request,7,3.0,
55.92152466645946,machine_allocated,8,2.0,Waiting Time: 12.83
55.92152466645946,processing_start,8,2.0,Processing Time: 4.72
60.49553117813092,processing_complete,6,3.0,
60.49553117813092,machine_request,6,4.0,
60.49553117813092,machine_allocated,7,3.0,Waiting Time: 4.57
60.49553117813092,processing_start,7,3.0,Processing Time: 6.34
60.64642687851697,processing_complete,8,2.0,
60.64642687851697,machine_request,8,3.0,
60.64642687851697,machine_allocated,9,2.0,Waiting Time: 14.30
60.64642687851697,processing_start,9,2.0,Processing Time: 4.66
61.62145800008903,processing_complete,3,4.0,
61.62145800008903,product_completion,3,,Total Time: 55.13
61.62145800008903,machine_allocated,4,4.0,Waiting Time: 12.62
61.62145800008903,processing_start,4,4.0,Processing Time: 7.01
62.17274883776639,product_arrival,10,,
62.17274883776639,machine_request,10,0.0,
62.17274883776639,machine_allocated,10,0.0,Waiting Time: 0.00
62.17274883776639,processing_start,10,0.0,Processing Time: 2.31
62.6493015037442,product_arrival,11,,
62.6493015037442,machine_request,11,0.0,
63.22999979567077,product_arrival,12,,
63.22999979567077,machine_request,12,0.0,
64.47972237221109,processing_complete,10,0.0,
64.47972237221109,machine_request,10,1.0,
64.47972237221109,machine_allocated,10,1.0,Waiting Time: 0.00
64.47972237221109,processing_start,10,1.0,Processing Time: 3.92
64.47972237221109,machine_allocated,11,0.0,Waiting Time: 1.83
64.47972237221109,processing_start,11,0.0,Processing Time: 2.36
65.30872705088186,processing_complete,9,2.0,
65.30872705088186,machine_request,9,3.0,
66.83554825533739,processing_complete,7,3.0,
66.83554825533739,machine_request,7,4.0,
66.83554825533739,machine_allocated,8,3.0,Waiting Time: 6.19
66.83554825533739,processing_start,8,3.0,Processing Time: 6.03
66.8361707026938,processing_complete,11,0.0,
66.8361707026938,machine_request,11,1.0,
66.8361707026938,machine_allocated,12,0.0,Waiting Time: 3.61
66.8361707026938,processing_start,12,0.0,Processing Time: 3.31
68.16686678149364,product_arrival,13,,
68.16686678149364,machine_request,13,0.0,
68.22460397005302,product_arrival,14,,
68.22460397005302,machine_request,14,0.0,
68.39859120594056,processing_complete,10,1.0,
